IP,Country,ISP,Abuse Score,Reports,Risk
1.1.1.1,AU,APNIC and Cloudflare DNS Resolver project,0,298,Low Risk 🟢
9.9.9.9,US,Quad9,0,29,Low Risk 🟢
8.8.8.8,US,Google LLC,0,60,Low Risk 🟢
9.9.9.9,US,Quad9,0,29,Low Risk 🟢
8.8.4.4,US,Google LLC,0,29,Low Risk 🟢
185.199.108.153,US,"GitHub, Inc.",34,11,Low Risk 🟢
203.0.113.5,,,0,1,Low Risk 🟢
185.220.101.1,DE,Artikel10 e.V.,100,163,High Risk 🔴
91.214.240.0,RU,Altagen JSC,0,0,Low Risk 🟢
91.214.240.0,RU,Altagen JSC,0,0,Low Risk 🟢
45.155.205.233,RU,Cloud Technologies LLC trading as Cloud.ru,7,3,High Risk 🔴
91.214.240.0,RU,Altagen JSC,0,0,Low Risk 🟢
185.220.101.1,DE,Artikel10 e.V.,100,161,High Risk 🔴
185.220.101.1,DE,Artikel10 e.V.,100,161,High Risk 🔴
